Path,Conversion
1 > 1 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 1 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 1 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 1 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 10 > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
1 > 10 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 10 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 10 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 10 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 11 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 12 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 12 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 12 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 13 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 13 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 13 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 14 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 15 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 15 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 15 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 16 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 16 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 16 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 17 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 2 > . > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 2 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 2 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
1 > 2 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 2 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 2 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 2 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
1 > 2 > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 20 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 20 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 20 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,3
1 > 20 > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,7
1 > 3 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 3 > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 3 > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,1
1 > 3 > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,4
1 > 3 > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,5
1 > 3 > . > . > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > nan > ,2
1 > 4 > . > . > . > . > . > . > . > . > . > . > nan > nan > nan > nan > nan > nan > nan > nan > ,1
